key;result
16eae1f667b040ef887bb9db83edaf8e;{"time": "2018-12-06T13:00:37.766831", "fingerprints": ["f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8", "f3367151bdd8eaf853586c75b9aa16f9ec1d82b8"], "cookie_id": "13084e48e4974728aca013990fc5d025"}
96083f32f8184694bbd3c149fd320b5e;{"time": "2018-12-06T13:00:11.296826", "fingerprints": ["461a2ec3c8effe2540bfc4f7097bcb61922b2915", "461a2ec3c8effe2540bfc4f7097bcb61922b2915", "461a2ec3c8effe2540bfc4f7097bcb61922b2915", "461a2ec3c8effe2540bfc4f7097bcb61922b2915", "461a2ec3c8effe2540bfc4f7097bcb61922b2915"], "cookie_id": "d2a9c1960a084c169d598126bc257612"}
5d3063357a6449ebbfc4ed7d91b30446;{"time": "2018-12-06T13:02:13.825900", "fingerprints": ["63bfe981b29324f0c2d442906489ba7399582523", "63bfe981b29324f0c2d442906489ba7399582523", "63bfe981b29324f0c2d442906489ba7399582523", "63bfe981b29324f0c2d442906489ba7399582523", "63bfe981b29324f0c2d442906489ba7399582523"], "cookie_id": "1c0dbb878c8848aa8b8e790d3a388821"}
c579c76c4ee7412a84ccd75b3ad6430c;{"time": "2018-12-06T13:00:25.198072", "fingerprints": ["3730f91aa16bd8c549d54fef46e3124ed5f694f5", "3730f91aa16bd8c549d54fef46e3124ed5f694f5", "3730f91aa16bd8c549d54fef46e3124ed5f694f5", "3730f91aa16bd8c549d54fef46e3124ed5f694f5", "3730f91aa16bd8c549d54fef46e3124ed5f694f5"], "cookie_id": "29dbb22aa45a44d798c0c75b97291226"}
476587b7ce3640f68e9ee44d6e53add3;{"time": "2018-12-06T13:01:54.844372", "fingerprints": ["aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e", "aec2c96bfa44eae0d94ad2e479191c037844a22e"], "cookie_id": "f65b8d2f44d1436d800d08f59f22f56f"}
54eeaf03a64b4e78bd9c7ad38bfff64e;{"time": "2018-12-06T13:00:32.959326", "fingerprints": ["d641f69477f7bfd1452f535a98022e30bea5e20e", "d641f69477f7bfd1452f535a98022e30bea5e20e", "d641f69477f7bfd1452f535a98022e30bea5e20e", "d641f69477f7bfd1452f535a98022e30bea5e20e", "d641f69477f7bfd1452f535a98022e30bea5e20e"], "cookie_id": "185782479a194369bad3dfb651faf643"}
6e1ee53539304914b8119b33993ae963;{"time": "2018-12-06T13:01:05.544473", "fingerprints": ["025c3f9b9965dc80ec89f668912f14e25df59f53", "025c3f9b9965dc80ec89f668912f14e25df59f53", "025c3f9b9965dc80ec89f668912f14e25df59f53", "025c3f9b9965dc80ec89f668912f14e25df59f53", "025c3f9b9965dc80ec89f668912f14e25df59f53"], "cookie_id": "96227ca5b63a48c0bdea9a6566645ba0"}
49b47eb00246466fbdfe311c633ac131;{"time": "2018-12-06T13:01:56.490038", "fingerprints": ["21a54b89b435946336ca1f5a3b5feaf89b8ab37c", "21a54b89b435946336ca1f5a3b5feaf89b8ab37c", "21a54b89b435946336ca1f5a3b5feaf89b8ab37c", "21a54b89b435946336ca1f5a3b5feaf89b8ab37c", "21a54b89b435946336ca1f5a3b5feaf89b8ab37c"], "cookie_id": "fc1b500c0c7541ab9d205660ad5b3dec"}
645a033285754c81891158e45421b8fc;{ }
762801d84db042d59f8b591230d030d9;{"time": "2018-12-06T13:01:53.182045", "fingerprints": ["fafe57d14d4e1449387ece51ae69f3567443e27b", "fafe57d14d4e1449387ece51ae69f3567443e27b", "fafe57d14d4e1449387ece51ae69f3567443e27b", "fafe57d14d4e1449387ece51ae69f3567443e27b", "fafe57d14d4e1449387ece51ae69f3567443e27b"], "cookie_id": "16eb99631a6144f081dd1d01366a4eea"}
